,topic,tweet_volume
0,Butter,1294279
1,WHAT'S MELTING,166984
2,このちゃん,70610
3,ミスクレーン,61244
4,Aqours,50706
5,タイシン,40219
6,サン宝石,39505
7,えっちゃん,23719
8,ピンクムーン,19255
9,#星のカービィ29周年,18702
10,ハサウェイ延期,18322
11,#仁兎なずな誕生祭2021,16953
12,#星野源,13582
13,陳宮メドレー,12225
14,#珈琲いかがでしょう,12146
15,#不思議,11944
16,クレーンさん,11782
17,Daisuke,11704
18,#きれいのくに,10874
19,医療関係者,10749
20,#関ジャニクロニクルF,10443
21,#松田好花生誕祭,
22,デジタルシングル,
23,隕石衝突の可能性,
24,のちゃん誕生日,
25,GoToイート発売,
26,憤りの声,
27,matomeHub,
28,地鳴り・地響き・家,
29,ツイート多数,
30,エレちゃん,
31,BTSの魅力,
32,ニトちゃん,
33,有働さん,
34,なずなくん,
35,制服参戦,
36,カナタくん,
37,ニトクリス,
38,風磨くん入所13周年,
39,虹3rd,
40,GoTo食事券,
41,後藤さん,
42,櫻井キャスター,
43,ポテサラ,
44,木のハンガー,
45,フィジカル音盤,
46,レジライブ,
47,金券配布,
48,#菊池風磨入所13周年,
49,#doya,
