,topic,tweet_volume
0,Índia,1430406
1,HYBE,310201
2,#BTS_Butter,262561
3,bighit,224427
4,O QUE É ISSO,177384
5,WHAT'S MELTING,159546
6,hanbin,86376
7,ASMR,64071
8,MANTEIGA,49935
9,mc donalds,48158
10,BANGTANTV,48132
11,O Santos,47177
12,UMA HORA,39924
13,Sputnik V,34095
14,Ana Maria,27949
15,BTS IS COMING,27630
16,noelle,27378
17,Fábio,24115
18,É COMEBACK,23193
19,Nagelsmann,22611
20,ITZY IS DIFFERENT,21541
21,BROTA NO BAILÃO,19371
22,É SINGLE,18460
23,Rueda,17138
24,#FicaArthur,16612
25,Thelma,16535
26,OQ É ISSO,12533
27,#maisvocê,12499
28,#FicaHolan,11984
29,Ratchet & Clank,10375
30,#BolsonaroPresidenteAte2026,
31,Lisca,
32,Marinho,
33,Diniz,
34,TE AMAMOS VITORIA,
35,Jair Ventura,
36,Marcelo Fernandes,
37,Thelminha,
38,Hering,
39,Salve o Mundo,
40,Carcará,
41,manu rios,
42,dorival,
43,Qualy,
44,Adão,
45,Grupo Soma,
46,CUFA,
47,ERA SÓ ISSO,
48,Kindle 10a,
49,Casa Civil,
