,topic,tweet_volume
0,Spotify,766924
1,TikTok,461799
2,Apple,350301
3,Johnson,249043
4,Chadwick,237339
5,Minister,226006
6,Best Actor,208265
7,Hopkins,172099
8,Henry,115537
9,#MondayMotivation,97962
10,Iran,94226
11,AstraZeneca,75476
12,Andrew,64032
13,#LesbianVisibilityDay,62281
14,McDonald,62100
15,Moderna,60149
16,Portugal,49816
17,Bible,49641
18,Bayern,48556
19,Chernobyl,35795
20,Hall of Fame,33764
21,Joel,32619
22,barbara,31832
23,Shearer,30551
24,Pixar,27926
25,Ukraine,24928
26,Daniel Ek,20570
27,Suarez,19939
28,Catholic,16452
29,Joan,15957
30,Varane,12792
31,Rooney,11345
32,Bailly,10735
33,#liveline,
34,#ASW21,
35,Donie,
36,Gerrard,
37,Darragh,
38,#GetOutGlazers,
39,Simon Harris,
40,Gardaí,
41,Rodgers,
42,Keane,
43,Cheltenham,
44,Leitrim,
45,Clodagh,
46,Giggs,
47,Sancho,
48,Dunnes,
49,,
