,topic,tweet_volume
0,#iHeartAwards,3513194
1,#enhypen,1594998
2,#BORDER_CARNIVAL,911309
3,#BestMusicVideo,904712
4,#Dynamite,771070
5,#방탄소년단,605893
6,#BTS_Butter,386614
7,#FaveChoreography,353892
8,#หัวท้ายตายก่อนxมิว,344629
9,jaemin,338509
10,WHAT'S MELTING,172635
11,#GulfKanawut,139674
12,Bangtan,133126
13,#winmetawin,111299
14,hanbin,88765
15,iHEART YOU WANNA,82643
16,Irene,73465
17,BTSARMY RUN FOR BTS,68632
18,#SUGA,53696
19,Người,33287
20,#YESUNG_Beautiful_Night,28578
21,#ELF_Beautiful_Night,27817
22,#여자아이들,26544
23,hưng,23832
24,GULF NIGHT,22463
25,VOTING TIME WITH BVF,
26,cùng đón chờ em í nhoé,
27,#MTPEntertainment,
28,#MTPTalent,
29,official poster,
30,#MuonRoiMaSaoCon,
31,điện,
32,Bánh,
33,nghiêu,
34,Trời,
35,Hoàng,
36,Cười,
37,#SonTungMTP,
38,#LaunchZonePoolX,
39,#maybaybagia,
40,#sinhvien,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
