,topic,tweet_volume
0,#BTSARMY,1098302.0
1,#방탄소년단,910140.0
2,#BTS_Butter,834843.0
3,Apple,484056.0
4,billie,118732.0
5,#Our_Healer_PILDAY,82308.0
6,ПОНИМАЮ,13227.0
7,Надеюсь,12419.0
8,#BTSнаВКФЕСТ,
9,Володин,
10,сталинградской,
11,хммм,
12,Котик,
13,зеленский,
14,Справа,
15,совета,
16,Европу,
17,РЫДАЮ,
18,донбассу,
19,Извиняюсь,
20,Подмосковья,
21,ростове,
22,Сложно,
23,Красивый,
24,академик черский,
25,Серьезно,
26,Оооо,
27,проще,
28,Ахметова,
29,ЗНАЕШЬ,
30,Аааа,
31,в любви,
32,Справедливо,
33,Чжунли,
34,Простите,
35,А ОЙ,
36,Классно,
37,Бразилии,
38,в ссср,
39,Смотря,
40,СЧИТАЮ,
41,Президент,
42,Многие,
43,Боже,
44,Moscow,
45,Андрей Воробьев,
46,Иисус,
47,Солнышко,
48,Скажите,
49,Гитлера,
