,topic,tweet_volume
0,#AbrazaLaVida,880442.0
1,El Gobierno,392873.0
2,Chelsea,213904.0
3,#27Abr,184957.0
4,Feliz Día,157298.0
5,Bayern,114855.0
6,Top 5,88804.0
7,Apure,69402.0
8,Nagelsmann,68027.0
9,Neymar,65223.0
10,Diálogo,61839.0
11,Burkina Faso,51050.0
12,Dr. José Gregorio Hernández,39350.0
13,Hazard,38806.0
14,Marcelo,36704.0
15,DDHH,36122.0
16,#GNBCuidaDeTiyTuFamilia,32297.0
17,Coqui,32083.0
18,Bundesliga,29961.0
19,Vladimir,20585.0
20,Alemania,18489.0
21,Desde Venezuela,16625.0
22,Douglas Rico,15590.0
23,#LiberenAOrlandoMoreno,14098.0
24,Cota 905,12818.0
25,Willie,11951.0
26,CICPC,11700.0
27,Don Omar,
28,#RafaelSimonALa1,
29,Andrés Stambouli,
30,Diseñador Gráfico,
31,Antonio Gramsci,
32,Banco del Tesoro,
33,Caramelos de Cianuro,
34,Essential Quality,
35,Zapatero,
36,Coliflor,
37,Madre Candelaria de San José,
38,Óscar Pérez,
39,Día Mundial del Diseño,
40,internacional de porto alegre,
41,Noruega,
42,Día del Código Morse,
43,trinidad y venezuela,
44,Simonovis,
45,Ciudades Comunales,
46,Sudáfrica,
47,Liga de Campeones,
48,Iniesta,
49,Jorge Rodríguez,
